ID,Section Title,Section Data,Section Type,Parent Sections,Related Sections,
1,Bluetongue Virus,"Cause: Virus (orbiviruses)
Distribution: Worldwide
Source: Infected ruminants (domestic or wild) especially cattle, spread by midges (Cullicoides species)
Samples for Diagnosis: Blood or post mortem samples from ewes, aborted lambs and placenta
Treatment: Fluids and anti-inflammatories to control symptoms. Seek veterinary advice. 
Notifiable Disease: Yes
Risk to Humans: No 
",Button,18,"22, 8",
2,Characteristics of Bluetongue Virus,"Bluetongue viruses mainly causes abortions in the second half of pregnancy, but can also cause pregnancy loss in the first half, or occasionally death in neonatal lambs (2). Outbreaks are often seasonal as they are linked to when the midges are most active, which tends to late summer and autumn in Europe. Outbreaks are currently uncommon in the UK, but there is a significant risk of midges from mainland Europe reaching the UK in the future (3). The number of abortions caused by Bluetongue can vary depending on the strain. Ewes are normally unwell, with depression, drooling and potential difficulty breathing, and they may have swollen heads. Mouth and nose ulceration and lameness are common (4). Some lambs are born deformed. See Abortions - What to do? for immediate steps to take following an abortion to reduce spread within the flock.",Expandable,1,,
3,Control,"The virus can be controlled by vaccination (5), insect control and biosecurity measures.  Vaccination should be undertaken before breeding, and before the high risk period when midges are active. Furthermore, care should be taken to use the vaccine which is specific to the strain of bluetongue in the area.",Expandable,1,,
4,References,"(1)   OIE, World Organisation for Animal Health. Bluetongue [cited 2021 August 10]. Available from: https://www.oie.int/en/disease/bluetongue/. 
(2)   Yavari M, Gharekhani J, Mohammadzadeh A. Bluetongue virus seropositivity and some risk factors affecting bluetongue virus infection in sheep flocks. Comparative Clinical Pathology. 2018;27(4):1017-22. Available from: https://doi.org/10.1007/s00580-018-2695-4
(3)   DEFRA, APHA. Bluetongue: how to spot and report the disease; 2019 [cited 2021 August 10]. Available from: https://www.gov.uk/guidance/bluetongue.
(4)   Simcock E. Bluetongue in Cattle and Sheep; 2019 [cited 2021 August 10]. Available from: https://www.nadis.org.uk/disease-a-z/sheep/bluetongue-in-cattle-and-sheep/.
(5)   Mayo C, Lee J, Kopanke J, MacLachlan NJ. A review of potential bluetongue virus vaccine strategies. Veterinary Microbiology. 2017;206:84-90. Available from: https://doi.org/10.1016/j.vetmic.2017.03.015
Updates on outbreaks in Europe. GOV.UK. Bluetongue virus in Europe; 2020 [cited 2021 August 10]. Available from: https://www.gov.uk/government/publications/bluetongue-virus-in-europe. ",Expandable,1,,
5,Border Disease Virus,"Cause: Virus (pestivirus). Border Disease Virus (normally sheep), Bovine
Viral Diarrhoea Virus (BVDV) (normally cattle)
Distribution: Worldwide
Source: Persistently infected cattle or sheep
Samples for Diagnosis: Aborted lambs and placenta, blood samples from lambs and/or ewes
Treatment: None, cull persistently infected animals as soon as possible
Notifiable Disease: No
Risk to Humans: No

Border Disease Virus (BDV, also sometimes known as ""Hairy Shaker Disease"") is similar to BVDV in cattle. BVDV can also be transmitted from cattle to sheep, and presents similarly to a sheep infected with BDV (1). These viruses are spread most efficiently by animals that are infected before birth and carry the disease for their whole lives, persistently infected or PI animals (2). This is how the disease is maintained in a flock. ",Button ,18," 8, 24",
6,Characteristics of BDV,"Abortion is seen in mid to late pregnancy. If the infection is newly introduced in the flock, the number of abortions can be high. If the infection is already present, there tends to be a constant but lower level of abortion. The stage at which the ewe is infected with BDV (or BVDV) affects the outcome, which can include a high level of barren ewes, as the embryos are reabsorbed before scanning (3), abortion, stillbirths or live lambs. If lambs make it to full term, they grow 20% slower than uninfected lambs and either exhibit no symptoms or deformities, the most common of which are behavioural abnormalities and altered wool appearance (4). Either type of lamb can be persistently infected and transfer the virus to other sheep. The ewes do not present as sick.

See Abortions - What to do? for immediate steps which should be undertaken following an abortion .

For more information on BDV consult your vet or see FAS. Border Disease (BD); 2020. Available from: https://www.fas.scot/publication/border-disease/. PDF Version
",Expandable,5,,
7,Control,"The virus can be controlled by blood testing the flock and removing infected individuals. Wherever possible, a closed flock should be maintained to prevent entry of the virus into the flock. Where this is not possible, new stock should be quarantined and blood tested for the virus before joining the flock (5). See biosecurity for more information on quarantining. ",Expandable,5,,
8,Vaccination,Vaccination of cattle on the same farm for Bovine Viral Diarrhoea Virus (BVDV) can reduce the transmission between cattle and sheep. Current evidence suggests that vaccinating sheep using a BVDV cattle vaccine does not help prevent BDV (6). ,Expandable,5,,
9,References,"(1)   Evans C, Woolford L, Hemmatzadeh F, Reichel M, Cockcroft P. Pathological lesions of lambs infected in utero with bovine viral diarrhoea virus type 1c (BVDV‐1c). Veterinary Record. 2021;188. Available from: https://doi.org/10.1002/vetr.6
(2)   Crilly JP, Jennings A, Gascoigne E. Border disease: an under-appreciated threat to flock health and productivity? Livestock. 2018;23(2):88-92. Available from: https://doi.org/10.12968/live.2018.23.2.88
(3)   SRUC. Investigating Poor Scanning Rates in Sheep Flocks; 2021 [cited 2021 August 6]. Available from: https://www.sruc.ac.uk/veterinary-surveillance-blog/investigating-poor-scanning-rates-in-sheep-flocks/.
(4)    FAS. Border Disease (BD); 2020 [cited 2021 August 6]. Available from: https://www.fas.scot/publication/border-disease/. PDF Version
(5)   Farm Health Online. Border Disease in Sheep [cited 2021 August 6]. Available from: https://www.farmhealthonline.com/disease-management/sheep-diseases/border-disease/.
(6)   Meyer G, Combes M, Teillaud A, Pouget C, Bethune M-A, Cassard H. Vaccination of Sheep with Bovine Viral Diarrhea Vaccines Does Not Protect against Fetal Infection after Challenge of Pregnant Ewes with Border Disease Virus. Vaccines. 2021;9(8). Available from: https://doi.org/10.3390/vaccines9080805",Expandable,5,,
10,Brucella Species,"Cause: Bacteria (Brucella ovis, B. melitensis, B. abortus)
Distribution: Widely distributed, but not found in all countries. Not present in UK
Source: Infected sheep, goats, cattle, wild ruminants, dogs, aborted materials
Samples for Diagnosis: Aborted placenta and lambs, blood from ewes, ram examinations, semen samples
Treatment: Not considered economical
Notifiable Disease: Yes
Risk to Humans: Yes (1) 

Brucella species can be spread between animals by bodily fluids like genital discharge and milk. They can also become infected by drinking contaminated water or eating contaminated feed. In areas of the world where these bacteria are found they are a serious cause of abortion in sheep and goats (2), and a serious cause of human disease. ",Button,18,24,
